index,category,f1_PC1,f1_PC2,f2_PC1,f2_PC2,f3_PC1,f3_PC2,f4_PC1,f4_PC2,f5_PC1,f5_PC2,f6_PC1,f6_PC2,f7_PC1,f7_PC2,f8_PC1,f8_PC2,f9_PC1,f9_PC2,f10_PC1,f10_PC2,f11_PC1,f11_PC2,f12_PC1,f12_PC2,f13_PC1,f13_PC2,m1_PC1,m1_PC2,m2_PC1,m2_PC2,m3_PC1,m3_PC2,m4_PC1,m4_PC2,m5_PC1,m5_PC2,m6_PC1,m6_PC2,m7_PC1,m7_PC2,m8_PC1,m8_PC2,m9_PC1,m9_PC2,m10_PC1,m10_PC2,m11_PC1,m11_PC2,m12_PC1,m12_PC2,m13_PC1,m13_PC2
0,"Non-estrus, Day",1.8605315844517782,-0.18078916502614997,1.5328205066175389,0.2336833778268963,-0.7635379219291475,0.19697818766329092,1.426797698352422,-0.10417567265344815,0.6188380269546314,-0.0895900676406336,0.2877926959062065,-0.10498683534030345,1.6859986500756283,-0.21160426447710082,0.4375858760646645,-0.17187428063421065,0.28099180274697794,0.24090320520210481,1.7864199874488635,-0.31415160318448027,0.14425984225900626,0.31715325785487947,-0.5397293275047539,-0.09213189532300746,0.5573110604929673,-0.03702541288943513,-0.16391352228466768,-0.12733530349629232,-0.7436858626263608,-0.014330313698484068,-0.6075786686920156,-0.10353494700709509,0.06451278093646835,-0.08533930570183564,1.9998773640634497,0.060453756020962715,0.46641515033534875,-0.04497288155041528,0.2828194374679293,0.049239442314551504,1.2892227314076288,-0.13019791103833434,0.7957021699905908,0.44606261971780153,-0.012009806610470936,0.10500998001783154,0.6143570432063078,-0.21315314041829278,0.4809088260145039,0.327104511137461,1.2009464919524282,0.09978490734209497
1,"Non-estrus, Day",2.0142438394695685,0.07238256046957844,1.6386945002003022,0.1857966015258345,-0.2087501230257721,0.22480290249200757,2.060486709387957,-0.19126228825092673,1.7802746438980963,-0.3524914559088297,1.9035913873469346,-0.06348808189652479,2.585200155873307,0.14655105391500473,2.031667848844347,-0.21905374390495186,2.122876415723887,-0.25153078503206333,2.705022175194946,-0.7842188763752149,2.1414351865061314,-0.36600915602281303,1.3494974357860055,0.11734130304127516,1.9073017447853413,-0.5765960650542095,1.7387792788163683,0.12603744816939183,1.8131659089384164,0.39534248543291456,2.124796050309576,-0.016100799823705336,2.4666233379763507,0.009613085319136981,1.5483308445013286,-0.21493113992365506,2.039781900151942,0.0030291782076857735,1.8145573621840612,-0.5313295811233048,2.058292369702972,-0.4159538578534715,1.9861395894023617,-0.02936296705690787,1.9358934301511141,-0.01999919672073455,2.165263196387694,0.05960076464677502,2.53609600480842,-0.20757960390162528,2.416031545570522,0.1055353692143558
2,"Non-estrus, Day",1.4835629456405803,0.23075219280243572,1.817788995190711,0.07637849198691901,1.7412482451143843,-0.4140360957919866,2.124206805118708,-0.03497414295259233,2.6508728231570577,0.22638573015912591,1.6874405881715357,0.15854156660177582,2.1819734831088073,0.22662674612262168,1.8840372457916683,0.03072654314938297,2.0301978561146514,-0.20676992473623118,2.6655767983252545,-0.6547447483977912,1.8551593124296875,0.04627627609622504,0.9955148993942609,0.030027107871188258,2.018273706506621,-0.5394676721885181,2.0835276326980723,-0.07522141275646232,1.7165892850685622,0.03560623970392757,1.4855319687636244,-0.43496229320070906,2.544892446308481,0.0929501650005858,1.792631190252197,-0.20155714786391174,2.131777771770589,0.03655189861014349,1.6427860321648737,-0.027055651236164557,2.11663657185091,-0.3044091855594607,2.4580110688109635,0.6544370122264712,1.8553223609268803,0.0620315468155063,0.9922234027556807,0.5483333523411468,2.570459127059899,-0.4628708324661605,2.228173305165881,0.22045938962364198
3,"Non-estrus, Day",1.6710513060329788,-0.0472242565133155,2.2106632341632206,-0.04692254696212432,1.8271133873803078,-0.0824997839850154,1.862443700783397,0.025114740439386378,2.5002942423356274,0.22606012194698183,1.4051377061466406,0.11486225367147337,2.236387316321684,0.11148860211577173,1.7838419119137914,0.06129880293139739,1.668445790119006,0.10340406213734077,1.7203033299534416,-0.1808174588327729,0.5707178036112154,-0.6860528376788572,1.0148098258762888,0.26485823025407673,1.1567272075403823,-1.000840070937357,1.9066660093563244,-0.07979920618320367,1.4754272117418727,0.21070965707532835,1.4360141409898917,-0.3021274910235942,2.500082264730513,-0.19427797945309408,2.4626553453541646,0.29735335396895424,2.3525902149969915,0.30748418573613145,2.2596321830655137,-0.7491434507188659,1.7311237128225498,0.22924677198227858,1.8826152878629765,0.23909911929579777,0.791890341666646,0.33237385654997964,1.0428834231798376,0.06325779908396192,2.5582731522794537,-0.5845899651182077,2.1058576354211174,-0.017844139497514573
4,"Non-estrus, Day",0.8661656788837786,0.40606792074510195,1.92435228339205,0.05809450768284156,0.6360724819323671,0.15919705562155784,1.8561823605048495,0.023125771679343134,2.280636243462527,0.15604923692263917,1.8476691329692483,-0.07928778925830593,1.8459404065327327,0.3295272928163057,2.1031168023939837,-0.11389127011487463,2.04876616205572,-0.36576371060963697,1.2660701599228708,-0.13106128653260582,0.4918489968673907,-0.984595011150821,0.3197267340070178,0.17625919538423385,0.5756648513760646,-0.5745342650717846,1.5750966496625174,0.08030297949581398,1.261774777201067,-0.03601592604149408,0.17191545520058965,-0.41970196409038263,2.660146841704767,-0.1963884856570172,2.0721419874196436,0.08072846530250709,0.15500579146214585,-0.48991310448919945,2.046524872033708,-0.5129033135494597,1.5376603424671074,0.08836883743596623,2.191449631068766,-0.07895993223289213,0.7709968382802705,0.43233305183693044,2.169727414806718,-0.08103006813956476,2.079644681736329,-0.4595690322800582,1.4378006309482136,0.48948745424488477
5,"Non-estrus, Day",-0.8743677645663421,0.19608033629164606,1.7245829417164324,0.11851107845548714,-0.5813814213034605,-0.2572449670938787,1.6987867913714627,-0.02176401413344273,1.6233779457213393,-0.04105933220262084,1.7480450530964908,-0.025812676570373054,2.230146540167681,-0.051627367914426,1.8535027412397111,-0.04680256537409777,0.11196728412677186,0.39472220153545673,-0.3019802077933631,0.24900099591420588,0.024667249098365533,1.5240651156906768,0.9604830018789199,0.27657709396271696,1.8004692975517882,-0.3516161439366686,0.29848589597645026,0.6020703580763871,1.4600520832090673,0.07872316847710495,1.1101900357532046,-0.3734476304430293,2.151132089163266,-0.04741162467872855,2.701805597267428,0.06262669583784808,0.19127369707560177,-0.22407327020928627,2.073506392319207,-0.04062252027176819,1.529977874263893,0.11236063758560777,1.0585155640074018,0.11895769922007693,2.133790231266956,-0.15829263009614541,1.4483342036581568,0.39802124692377033,1.9461224387168297,-0.35576943324442023,-0.6127530414815112,0.14806883756769643
6,"Non-estrus, Day",1.5477896022120736,0.032773781896412564,1.3181205308828798,0.314253158530414,-1.6507119632770986,0.06487296379522448,1.8073027732791807,-0.008664329472310698,1.2675270698192915,-0.07216991246523995,2.055609748917826,-0.23520058869915741,1.7481229233683453,0.02729667823748178,1.7128495063435056,-0.036255770101054026,-0.7313735200740024,0.5239561812462354,1.4350373144544766,-0.5505432267552955,0.8021285243980214,0.535352522496095,0.9455404692491823,0.43456063613318613,1.4213113950774285,-0.15550362353609307,1.5921493032793075,0.14108922070641386,1.4260364641731458,-0.007183080221190092,1.7281237585673663,-0.1406799941195573,1.5104559091284968,0.12701092063514938,-1.0167942793876192,-0.36257490294213374,0.5512501904384487,-0.483681743674004,2.5753294310489525,-0.6065056929210294,2.1515511365380497,0.19208864900781375,2.5804951004101793,-0.02485041374252611,1.850613276143894,0.0034880780780386328,1.2147407431112647,-0.1059202577493544,2.0822987613903026,-0.4861237947251793,0.23903178605545936,0.3524795662597525
7,"Non-estrus, Day",1.579240883941002,0.15365935020681923,0.11521497702601116,0.24336615117223737,-1.7708946884188166,-0.144081696558805,1.314839366115528,-0.17500337739016936,-0.8787340834149422,-0.47658712920071916,2.360308269360642,-0.4373131884572458,-0.3234306327173381,0.18557672337734546,1.5580289107605803,-0.026595251783647144,1.3713547958085066,-0.06770079726017994,1.761470675312489,-0.5550259450649933,-0.3598960016751453,-0.4787586033134582,0.7554610481831582,-0.06621758462517344,0.8260847497664378,0.24502929720550873,1.9445773335711771,-0.09887407186331451,1.4725006811959573,-0.023158686803098915,1.3299172927902734,-0.1946420265839197,-0.7384437786352722,0.19164015383505426,-1.3231046251476462,0.4524487277658817,1.674836259180888,0.23548903291320908,2.3184475898901113,-0.7044966571258383,2.2763726462200005,0.20589646087049296,2.8722277083364838,-0.11696033356144671,1.6323128554363877,0.17191629312517567,1.9719175164863538,-0.09807845163444265,0.14771942418048184,0.1679304990971928,0.36054425310082433,0.411952015499157
8,"Non-estrus, Day",1.6009047044490363,-0.058425532850374315,-1.4179244154015092,0.12761049954150364,0.831538559118468,-0.18416186929497524,-1.3079003307791823,0.31823988654392665,0.48436758906835176,-0.0719540158621378,1.8773757925092398,-0.1657253447643551,0.48875500739152317,0.24794321761789542,1.487235174438741,-0.29558362224625934,-1.0201863373216227,0.59114963916938,1.4359221061161538,0.019406454186417958,0.7372308759774703,-0.20028113900104066,1.0159070402647143,0.003548115530916345,-1.113208227970369,-0.5230853308217494,0.8013842405047997,0.10969826978804789,1.1301784118673854,0.3222124435695629,-0.588389456628181,0.07815447836773345,-0.14353931521019553,-0.22704965260347237,-1.1144634257881558,0.07128737090229102,1.6346457931542129,-0.04349080433616672,1.8906752450596942,-0.40865768334394265,-0.02371357980414505,-0.1306926444444007,2.321051746061394,-0.442869638626983,0.8823233203606217,-0.05291333317013748,2.4576699192152174,-0.3016889407814893,-0.33825280365255866,0.15903602554935195,-1.7200169373702527,0.1018915505669386
9,"Non-estrus, Day",-1.1769990331290725,0.291838162500956,0.7372496018280039,-0.022168909232344037,-0.9155673619975324,0.3107396896022837,0.4137616946841557,0.07888338501399864,2.344031308882114,0.2694276500852397,2.144864605395896,-0.3429738205443856,0.6114172815182709,0.18203833950962053,-1.3843941068735612,0.12956072722635562,0.27094670431955636,0.07934473497255744,0.516801251212788,-0.04265560153363198,-0.07129544255859466,0.013405942304501239,0.9968892277095119,0.28244606633784985,0.7362793614420646,0.3348346855298817,-1.1035887978756274,0.30526269614057894,0.728029400228973,0.19690849458036203,-0.06424844007270722,-0.40710528346616165,-0.9754662888996138,0.365967984757025,-1.2507767951090127,-0.41059649083321204,0.7859710720802524,-0.3149231853253282,-0.23338072228364834,0.41233381387471374,1.1390936593090728,0.33743331108508595,0.3721735234394454,0.5263445601037665,-0.6120606087808952,0.3929378818437443,1.3451579651461378,-0.12570723500123035,1.2126151938333496,0.43810235663721553,-0.02041972896269756,0.38232335166290354
