hour,is_estrus,is_night,f1_act,f1_temp
0,False,False,33.39749742107551,38.214189779147404
0,True,False,34.3375,38.249541666666666
1,False,False,33.025693490866665,38.51508333333333
1,True,False,28.791666666666668,38.389375
2,False,False,29.255000000000003,38.33606666666667
2,True,False,24.133333333333333,38.20195833333333
3,False,False,25.78333333333333,38.25796666666666
3,True,False,22.90416666666667,38.165166666666664
4,False,False,23.382360157533334,38.12335
4,True,False,31.130900393833336,38.38970833333333
5,False,False,22.508333333333333,38.06185
5,True,False,25.4875,38.381166666666665
6,False,False,23.816666666666666,38.20798333333333
6,True,False,35.2875,38.51766666666667
7,False,False,27.501666666666665,38.205400000000004
7,True,False,37.626733727166666,38.47095833333333
8,False,False,19.166666666666664,37.75586666666667
8,True,False,32.90416666666667,38.354625
9,False,False,9.756666666666666,37.065916666666666
9,True,False,22.2600670605,37.92725
10,False,False,13.13,37.13485
10,True,False,15.079166666666667,37.687041666666666
11,False,False,12.843333333333334,37.1311022465
11,True,False,11.043400393833332,37.455708333333334
12,False,True,7.951666666666666,36.76805
12,True,True,7.891666666666667,37.38433333333333
13,False,True,14.333333333333334,36.9767
13,True,True,15.95,37.41504166666667
14,False,True,13.883333333333335,37.0519
14,True,True,9.8625,36.993875
15,False,True,5.201666666666666,36.5714
15,True,True,2.8958333333333335,36.572875
16,False,True,6.443333333333333,36.60946666666666
16,True,True,4.529166666666667,36.53579166666667
17,False,True,6.371666666666667,36.601933333333335
17,True,True,4.404166666666667,36.50054166666666
18,False,True,6.3549999999999995,36.54551666666667
18,True,True,4.1625,36.48958333333333
19,False,True,5.331666666666666,36.5402
19,True,True,4.220833333333333,36.56945833333333
20,False,True,7.166666666666667,36.64091666666667
20,True,True,12.708333333333332,36.775958333333335
21,False,True,6.3583333333333325,36.6717
21,True,True,7.770833333333333,36.796958333333336
22,False,True,7.086666666666668,36.747816666666665
22,True,True,8.0,36.80433333333333
23,False,True,13.3,37.22455
23,True,True,19.2375,37.320541666666664
