day,is_night,is_estrus,f1_act,f1_temp
1,False,False,21.599905838041433,37.8172434086629
1,True,False,8.634722222222221,36.716277777777776
2,False,True,24.920833333333334,38.22643055555556
2,True,True,8.151388888888889,36.76640277777778
3,False,False,22.294444444444448,37.85765464986111
3,True,False,7.419444444444444,36.65781944444444
4,False,False,21.11111111111111,37.95622222222222
4,True,False,7.888888888888889,36.69855555555555
5,False,False,26.508333333333336,38.02231944444444
5,True,False,11.4625,36.990375
6,False,True,27.650000000000002,38.26011111111111
6,True,True,8.13888888888889,36.91880555555556
7,False,False,25.881944444444443,37.988236111111114
7,True,False,7.1180555555555545,36.594375
8,False,False,20.533333333333335,37.925152777777775
8,True,False,8.081944444444444,36.70995833333333
9,False,False,20.129744575722224,37.895625
9,True,False,7.7124999999999995,36.74780555555555
10,False,True,24.72280013127778,38.230444444444444
10,True,True,6.895833333333333,36.81431944444444
11,False,False,24.874189020166668,37.98822222222222
11,True,False,8.863888888888889,36.79961111111111
12,False,False,23.516666666666666,37.91234722222222
12,True,False,7.741666666666667,36.695486111111116
13,False,False,21.639466797944447,37.90034722222222
13,True,False,8.229166666666666,36.848194444444445
14,False,True,29.701733727166665,38.01306944444445
14,True,True,10.691666666666665,36.88690277777778
15,False,False,32.0,37.15
